fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
43288.00;0.62;0.04;43315.00;0.08;25.00;45.00;1.00;12479.00;0.53;43229.00;5.00
43141.00;0.42;0.57;43193.00;0.07;4.00;10.00;1.00;43193.00;0.63;43260.00;5.00
43227.00;0.63;0.12;43105.00;0.11;50.00;110.00;1.00;46082.00;0.77;43199.00;5.00
43319.00;0.59;0.18;43161.00;0.08;17.00;54.00;1.00;15766.00;0.59;10.00;5.00
43166.00;0.39;0.31;43192.00;0.07;9.00;46.00;1.00;15036.00;0.54;43199.00;6.00
43320.00;0.40;0.40;43133.00;0.08;19.00;52.00;1.00;16132.00;0.64;43140.00;5.00
43288.00;0.69;0.49;43313.00;0.12;20.00;112.00;1.00;44256.00;0.71;43168.00;5.00
43227.00;0.52;0.16;43344.00;0.09;12.00;35.00;1.00;13940.00;0.62;43229.00;7.00
7.00;0.74;0.05;2.00;0.08;13.00;54.00;1.00;14305.00;0.57;43321.00;5.00
43138.00;0.73;0.05;23833.00;0.09;4.00;11.00;1.00;15036.00;0.39;43353.00;5.00
43138.00;0.73;0.05;23833.00;0.09;4.00;11.00;1.00;15036.00;0.39;43353.00;5.00
43227.00;0.52;0.11;43221.00;0.08;11.00;39.00;1.00;15401.00;0.58;43260.00;5.00
43257.00;0.71;0.07;43252.00;0.08;6.00;15.00;1.00;16132.00;0.58;43291.00;5.00
43168.00;0.32;0.57;2.00;0.07;27.00;65.00;1.00;46813.00;0.79;43291.00;5.00
8.00;0.71;0.05;43344.00;0.07;8.00;19.00;1.00;12479.00;0.95;43230.00;6.00
43288.00;0.63;0.08;43344.00;0.08;15.00;27.00;1.00;11749.00;0.54;43229.00;6.00
43288.00;0.67;0.23;43102.00;0.09;17.00;96.00;1.00;11749.00;0.48;43229.00;5.00
43288.00;0.69;0.22;43344.00;0.08;18.00;94.00;1.00;11383.00;0.48;43229.00;5.00
43167.00;0.68;0.26;43102.00;0.08;11.00;43.00;1.00;11383.00;0.53;43140.00;4.00
43290.00;0.32;0.54;43222.00;0.09;28.00;83.00;1.00;46813.00;0.82;43260.00;5.00
43320.00;0.41;0.64;43133.00;0.09;9.00;42.00;1.00;19784.00;0.66;43230.00;5.00
43320.00;0.41;0.64;43133.00;0.09;9.00;42.00;1.00;19784.00;0.66;43230.00;5.00
43318.00;0.79;0.00;43192.00;0.10;14.00;30.00;1.00;19054.00;0.55;43291.00;6.00
43287.00;0.75;0.12;2.00;0.09;12.00;80.00;1.00;13940.00;0.52;43110.00;5.00
43167.00;0.63;0.20;43221.00;0.08;27.00;119.00;1.00;42430.00;43435.00;43109.00;4.00
43137.00;0.45;0.20;43252.00;0.07;3.00;15.00;1.00;15036.00;0.56;43140.00;5.00
43319.00;0.43;0.70;43344.00;0.46;22.00;67.00;1.00;41334.00;46753.00;43199.00;5.00
43197.00;0.50;0.47;2.00;0.09;21.00;73.00;1.00;13210.00;0.57;43109.00;5.00
43166.00;0.67;0.26;43313.00;0.40;16.00;51.00;1.00;42430.00;41640.00;43199.00;5.00
43165.00;0.30;0.48;43313.00;0.07;18.00;61.00;1.00;16132.00;0.78;43169.00;6.00
43349.00;0.55;0.15;43133.00;0.08;19.00;40.00;1.00;15036.00;0.59;43110.00;5.00
43259.00;0.49;0.28;43344.00;0.11;20.00;136.00;1.00;34001.00;34700.00;43352.00;6.00
43288.00;0.49;0.26;43344.00;0.06;9.00;31.00;1.00;14305.00;0.64;43260.00;5.00
43168.00;0.39;0.44;43102.00;0.11;34.00;125.00;1.00;41699.00;44562.00;43229.00;5.00
7.00;0.62;0.08;43313.00;0.08;8.00;24.00;1.00;17593.00;0.53;9.00;5.00
43350.00;0.52;0.26;43344.00;0.08;42.00;140.00;1.00;44986.00;0.54;43229.00;5.00
43259.00;0.49;0.28;43344.00;0.11;20.00;136.00;1.00;34001.00;34700.00;43352.00;6.00
43259.00;0.49;0.29;2.00;0.11;19.00;133.00;1.00;34001.00;35796.00;43321.00;5.00
43288.00;0.49;0.26;43344.00;0.06;9.00;31.00;1.00;14305.00;0.64;43260.00;5.00
5.00;43132.00;0.04;43191.00;0.05;41.00;85.00;0.99;27454.00;0.48;43230.00;4.00
43285.00;0.60;0.17;43161.00;0.06;17.00;106.00;0.99;31107.00;0.60;43355.00;6.00
43318.00;0.78;0.00;3.00;0.10;8.00;23.00;1.00;16497.00;0.56;43291.00;5.00
7.00;0.50;0.25;2.00;0.07;3.00;22.00;1.00;45717.00;0.63;43140.00;5.00
43258.00;0.90;0.06;43222.00;0.08;5.00;10.00;1.00;14305.00;0.56;43321.00;5.00
43108.00;0.55;0.18;43344.00;0.08;13.00;35.00;1.00;43162.00;0.59;9.00;6.00
43167.00;0.61;0.30;43102.00;0.08;11.00;50.00;1.00;43193.00;0.61;43141.00;6.00
43319.00;0.50;0.30;43344.00;0.08;8.00;22.00;1.00;11383.00;0.56;43200.00;6.00
43108.00;0.55;0.18;43344.00;0.08;13.00;35.00;1.00;43162.00;0.59;9.00;6.00
43108.00;0.58;0.22;43102.00;0.08;12.00;65.00;1.00;47178.00;0.51;43140.00;5.00
43138.00;0.49;0.24;43133.00;0.07;5.00;36.00;1.00;12114.00;0.48;43199.00;5.00
43108.00;0.58;0.22;43102.00;0.08;12.00;65.00;1.00;47178.00;0.51;43140.00;5.00
43319.00;0.41;0.68;43282.00;0.47;18.00;69.00;1.00;43315.00;11324.00;43168.00;5.00
43137.00;0.63;0.31;43282.00;0.09;15.00;64.00;1.00;16862.00;0.79;43168.00;5.00
8.00;0.33;0.53;43222.00;0.09;18.00;80.00;1.00;13575.00;0.80;43260.00;6.00
43108.00;0.79;0.52;2.00;0.12;37.00;153.00;1.00;44256.00;0.69;43168.00;5.00
43319.00;0.56;0.19;43313.00;0.10;12.00;47.00;1.00;43525.00;0.93;43229.00;5.00
43198.00;0.62;0.09;43133.00;0.08;11.00;108.00;1.00;42064.00;0.66;43321.00;5.00
43198.00;0.60;0.10;43133.00;0.09;14.00;111.00;1.00;42064.00;0.66;43321.00;5.00
43110.00;0.31;0.44;43161.00;0.08;22.00;46.00;1.00;11749.00;0.67;43290.00;6.00
43319.00;0.56;0.19;43313.00;0.10;12.00;47.00;1.00;43525.00;0.93;43229.00;5.00
43199.00;0.40;0.31;43133.00;0.09;13.00;62.00;1.00;43284.00;0.63;43230.00;6.00
43167.00;0.54;0.28;43344.00;0.08;11.00;40.00;1.00;14305.00;0.61;10.00;6.00
43319.00;0.56;0.12;2.00;0.08;7.00;28.00;1.00;13575.00;0.50;43199.00;6.00
43320.00;0.55;0.04;43133.00;0.12;14.00;56.00;1.00;44256.00;0.60;43353.00;6.00
7.00;0.69;0.08;43313.00;0.10;22.00;89.00;1.00;12479.00;0.54;43140.00;6.00
43166.00;43282.00;0.09;43282.00;0.18;10.00;89.00;1.00;43162.00;0.57;9.00;5.00
43320.00;0.55;0.04;43133.00;0.12;14.00;56.00;1.00;44256.00;0.60;43353.00;6.00
43166.00;0.70;0.00;43222.00;0.08;3.00;13.00;1.00;17958.00;0.52;43140.00;5.00
8.00;0.71;0.00;43253.00;0.08;11.00;34.00;1.00;16132.00;0.53;43229.00;5.00
43319.00;0.50;0.17;43252.00;0.08;21.00;102.00;1.00;14305.00;0.48;43229.00;5.00
9.00;0.62;0.04;43344.00;0.15;27.00;90.00;1.00;42430.00;0.70;43199.00;5.00
43139.00;12055.00;0.00;43282.00;0.08;3.00;12.00;1.00;19419.00;0.49;43353.00;5.00
43108.00;12055.00;0.00;43313.00;0.08;3.00;12.00;1.00;19784.00;0.48;43353.00;5.00
8.00;0.59;0.16;43313.00;0.07;3.00;16.00;1.00;15401.00;0.92;43230.00;7.00
43106.00;0.38;0.15;43313.00;0.07;6.00;19.00;1.00;15401.00;0.57;43199.00;5.00
8.00;0.75;0.56;2.00;0.12;30.00;134.00;1.00;45352.00;0.66;43199.00;5.00
43256.00;0.50;0.09;43161.00;0.05;17.00;99.00;0.99;23071.00;0.63;13.00;5.00
43256.00;0.50;0.09;43161.00;0.05;17.00;99.00;0.99;23071.00;0.63;13.00;5.00
43257.00;0.50;0.01;43221.00;0.06;17.00;26.00;1.00;43193.00;0.58;43321.00;6.00
43350.00;43191.00;0.05;43133.00;0.08;13.00;29.00;1.00;44621.00;0.55;43352.00;6.00
43198.00;0.75;0.11;43344.00;0.09;16.00;63.00;1.00;43525.00;0.82;43260.00;5.00
43167.00;0.72;0.15;43313.00;0.09;10.00;52.00;1.00;44986.00;0.77;43229.00;5.00
43138.00;0.42;0.36;2.00;0.08;13.00;45.00;1.00;17593.00;0.64;43140.00;5.00
43319.00;0.56;0.19;43102.00;0.08;15.00;105.00;1.00;12114.00;0.54;43229.00;5.00
43319.00;0.56;0.19;2.00;0.08;17.00;108.00;1.00;11749.00;0.54;43229.00;5.00
43198.00;0.75;0.11;43344.00;0.09;16.00;63.00;1.00;43525.00;0.82;43260.00;5.00
43167.00;0.72;0.15;43313.00;0.09;10.00;52.00;1.00;44986.00;0.77;43229.00;5.00
43136.00;0.34;0.00;43313.00;0.05;27.00;63.00;0.99;24898.00;0.79;14.00;6.00
43165.00;0.39;0.08;43282.00;0.07;3.00;20.00;1.00;12479.00;0.58;43199.00;5.00
43136.00;0.34;0.00;43313.00;0.05;27.00;63.00;0.99;24898.00;0.79;14.00;6.00
43108.00;0.67;0.55;43313.00;0.12;32.00;141.00;1.00;42795.00;0.62;43199.00;5.00
43317.00;0.68;0.02;43313.00;0.09;21.00;94.00;0.99;19784.00;0.52;10.00;5.00
43258.00;0.49;0.26;43252.00;0.24;10.00;88.00;1.00;43407.00;0.80;43168.00;5.00
43349.00;0.49;0.10;43161.00;0.07;12.00;30.00;1.00;15401.00;0.58;43141.00;6.00
43139.00;0.40;0.44;43314.00;0.09;11.00;43.00;1.00;19419.00;0.61;43230.00;6.00
43166.00;0.33;0.47;43102.00;0.08;5.00;11.00;1.00;12114.00;0.53;43169.00;6.00
43140.00;0.52;1.00;43193.00;0.61;32.00;69.00;1.00;27061.00;2.00;43199.00;4.00
43227.00;0.60;0.03;43313.00;0.10;25.00;99.00;1.00;12844.00;0.54;43110.00;5.00
43227.00;0.60;0.03;43313.00;0.10;25.00;99.00;1.00;12844.00;0.54;43110.00;5.00
43107.00;0.43;0.42;43225.00;0.07;29.00;129.00;1.00;15401.00;0.72;43230.00;5.00
43107.00;0.43;0.42;43225.00;0.07;28.00;128.00;1.00;15401.00;0.71;43230.00;5.00
43107.00;0.43;0.42;43225.00;0.07;29.00;129.00;1.00;15401.00;0.72;43230.00;5.00
43107.00;0.43;0.42;43225.00;0.07;28.00;128.00;1.00;15401.00;0.71;43230.00;5.00
43107.00;0.68;0.00;43133.00;0.07;12.00;22.00;1.00;17593.00;0.50;43168.00;5.00
43318.00;0.60;0.18;43344.00;0.08;18.00;86.00;1.00;21610.00;0.57;43168.00;6.00
43258.00;0.95;0.03;2.00;0.09;7.00;20.00;1.00;43134.00;0.56;43260.00;5.00
43258.00;0.68;0.02;43160.00;0.07;9.00;20.00;1.00;42795.00;43313.00;43140.00;4.00
43319.00;0.53;0.04;43282.00;0.08;17.00;31.00;1.00;12114.00;0.56;10.00;6.00
43197.00;0.60;0.26;43166.00;0.07;36.00;121.00;1.00;13575.00;0.49;43199.00;5.00
43166.00;0.59;0.26;43138.00;0.07;35.00;121.00;1.00;13575.00;0.49;43199.00;5.00
43319.00;0.63;0.48;43282.00;0.10;14.00;96.00;1.00;43525.00;0.62;43229.00;5.00
43318.00;0.64;0.10;43102.00;0.09;18.00;101.00;1.00;12479.00;0.52;43141.00;5.00
43166.00;0.55;0.03;43252.00;0.07;17.00;42.00;1.00;13575.00;0.48;9.00;4.00
43318.00;0.63;0.07;43102.00;0.09;11.00;44.00;1.00;17227.00;0.55;43200.00;6.00
43227.00;0.71;0.24;43313.00;0.36;15.00;63.00;1.00;3.00;21551.00;43229.00;5.00
43350.00;0.89;0.03;43313.00;0.06;4.00;8.00;1.00;13210.00;0.33;43109.00;4.00
8.00;0.42;0.17;2.00;0.07;6.00;18.00;1.00;47178.00;0.61;43140.00;6.00
8.00;0.42;0.17;2.00;0.07;6.00;18.00;1.00;47178.00;0.61;43140.00;6.00
43197.00;0.62;0.05;43344.00;0.07;24.00;42.00;1.00;15401.00;0.57;43231.00;6.00
43166.00;0.38;0.21;2.00;0.08;7.00;35.00;1.00;12114.00;0.47;43229.00;5.00
43349.00;0.50;0.04;43221.00;0.09;19.00;49.00;1.00;12844.00;0.78;43229.00;5.00
43166.00;0.38;0.21;2.00;0.08;7.00;35.00;1.00;12114.00;0.47;43229.00;5.00
43227.00;0.52;0.42;43161.00;0.09;8.00;38.00;1.00;21245.00;0.61;43230.00;6.00
7.00;0.81;0.00;43222.00;0.07;7.00;20.00;1.00;17593.00;0.56;43260.00;5.00
43320.00;0.61;0.14;43192.00;0.07;10.00;42.00;1.00;43525.00;0.59;43229.00;5.00
43320.00;0.61;0.14;43192.00;0.07;10.00;42.00;1.00;43525.00;0.59;43229.00;5.00
43351.00;0.61;0.49;2.00;0.27;23.00;110.00;1.00;43437.00;43132.00;43168.00;5.00
43138.00;0.73;0.02;43222.00;0.08;16.00;42.00;1.00;16132.00;0.52;43168.00;5.00
43318.00;0.61;0.20;43313.00;0.08;11.00;65.00;1.00;19784.00;0.58;43168.00;5.00
43287.00;0.62;0.21;43344.00;0.08;8.00;62.00;1.00;19054.00;0.58;43168.00;6.00
43351.00;0.31;0.57;2.00;0.11;26.00;85.00;1.00;46082.00;0.53;43290.00;5.00
43197.00;0.39;0.48;2.00;0.08;14.00;67.00;1.00;12479.00;0.55;43140.00;5.00
43288.00;0.71;0.10;43253.00;0.08;9.00;26.00;1.00;14305.00;0.49;43290.00;5.00
43350.00;0.50;0.33;2.00;0.08;15.00;143.00;1.00;43134.00;0.55;43229.00;5.00
43350.00;0.49;0.32;43344.00;0.08;17.00;144.00;1.00;43134.00;0.55;43229.00;5.00
43139.00;0.50;0.35;43345.00;0.08;21.00;127.00;1.00;44986.00;0.62;43199.00;5.00
43196.00;0.37;0.25;43344.00;0.07;21.00;49.00;1.00;20880.00;0.62;43321.00;6.00
43318.00;0.63;0.12;43315.00;0.10;16.00;126.00;1.00;46813.00;0.61;43229.00;5.00
43258.00;0.55;0.21;43133.00;0.07;7.00;28.00;1.00;46813.00;0.55;43290.00;5.00
43258.00;0.55;0.21;43133.00;0.07;7.00;28.00;1.00;46813.00;0.55;43290.00;5.00
43319.00;0.59;0.33;2.00;0.07;24.00;120.00;1.00;45717.00;0.54;43199.00;5.00
43166.00;0.58;0.30;43192.00;0.07;15.00;55.00;1.00;16862.00;0.59;43141.00;5.00
43231.00;0.30;0.60;2.00;0.07;12.00;27.00;1.00;43407.00;0.97;43110.00;6.00
43195.00;0.84;0.08;43132.00;0.05;13.00;93.00;0.99;20880.00;0.85;13.00;7.00
43349.00;43344.00;0.06;43102.00;0.06;12.00;31.00;0.99;18688.00;0.43;43201.00;4.00
43260.00;0.32;0.47;43191.00;0.06;9.00;24.00;1.00;44621.00;0.82;43169.00;7.00
43320.00;0.37;0.48;43102.00;0.10;39.00;145.00;1.00;43193.00;43160.00;43168.00;5.00
43318.00;0.50;0.11;43221.00;0.08;16.00;49.00;1.00;13210.00;0.79;43229.00;5.00
7.00;0.42;0.35;43252.00;0.09;16.00;39.00;1.00;12479.00;0.55;43140.00;5.00
7.00;0.43;0.36;43252.00;0.09;14.00;37.00;1.00;12479.00;0.56;43140.00;6.00
43324.00;0.30;0.74;43253.00;0.10;9.00;28.00;1.00;43134.00;0.77;43322.00;7.00
43324.00;0.30;0.74;43253.00;0.10;9.00;28.00;1.00;43134.00;0.77;43322.00;7.00
43319.00;0.57;0.31;43313.00;0.07;26.00;120.00;1.00;47178.00;0.53;43168.00;5.00
43319.00;0.44;0.28;43283.00;0.10;18.00;95.00;1.00;44621.00;0.67;43199.00;5.00
11.00;0.30;0.58;43102.00;0.05;7.00;19.00;1.00;11383.00;0.88;43230.00;7.00
43290.00;0.53;0.60;2.00;0.04;5.00;19.00;1.00;43162.00;0.86;43202.00;6.00
8.00;0.73;0.24;43314.00;0.08;10.00;62.00;1.00;12844.00;0.56;10.00;6.00
43262.00;0.44;0.64;43102.00;0.06;5.00;15.00;1.00;44256.00;0.67;43141.00;6.00
43139.00;0.57;0.26;43133.00;0.06;28.00;65.00;1.00;43162.00;0.43;43110.00;5.00
43319.00;0.74;0.08;43192.00;0.09;10.00;41.00;1.00;45352.00;0.71;43321.00;6.00
7.00;0.49;0.49;43256.00;0.06;26.00;121.00;1.00;12479.00;0.76;43230.00;5.00
43289.00;0.63;0.16;2.00;0.10;13.00;49.00;1.00;41699.00;0.57;11.00;5.00
43108.00;0.73;0.22;43133.00;0.07;11.00;41.00;1.00;13210.00;0.55;43109.00;5.00
43227.00;0.49;0.19;43344.00;0.08;10.00;44.00;1.00;14305.00;0.54;43290.00;5.00
43319.00;0.53;0.33;43192.00;0.08;24.00;144.00;1.00;43162.00;0.60;43229.00;5.00
43319.00;0.34;0.37;2.00;0.08;24.00;58.00;1.00;12479.00;0.59;43199.00;6.00
43197.00;0.53;0.26;2.00;0.10;16.00;72.00;1.00;42064.00;0.57;43199.00;5.00
43318.00;0.61;0.04;43221.00;0.06;5.00;10.00;1.00;15401.00;0.60;43229.00;5.00
43259.00;0.65;0.25;2.00;0.08;8.00;28.00;1.00;46813.00;0.60;10.00;6.00
43198.00;0.64;0.36;2.00;0.09;15.00;55.00;1.00;11383.00;0.57;43200.00;4.00
43288.00;0.43;0.25;43253.00;0.07;29.00;63.00;1.00;13575.00;0.58;43230.00;6.00
43351.00;0.59;0.50;2.00;0.34;27.00;81.00;1.00;43193.00;22282.00;43229.00;6.00
9.00;0.82;0.14;43253.00;0.09;9.00;23.00;1.00;14305.00;0.63;43321.00;5.00
43288.00;0.43;0.25;43253.00;0.07;29.00;63.00;1.00;13575.00;0.58;43230.00;6.00
43349.00;0.52;0.25;43253.00;0.08;10.00;37.00;1.00;16862.00;0.50;11.00;5.00
43136.00;0.48;0.04;43252.00;0.05;19.00;106.00;0.99;19784.00;0.62;43143.00;7.00
8.00;0.38;0.06;43313.00;0.08;12.00;49.00;1.00;13575.00;0.52;43352.00;6.00
43228.00;0.37;0.20;43314.00;0.09;18.00;58.00;1.00;12479.00;0.70;43260.00;6.00
43349.00;0.52;0.25;43253.00;0.08;10.00;37.00;1.00;16862.00;0.50;11.00;5.00
43139.00;1.00;0.09;43161.00;0.07;7.00;37.00;1.00;11749.00;0.55;9.00;6.00
43138.00;0.63;0.00;43344.00;0.10;14.00;38.00;1.00;13575.00;0.58;9.00;6.00
43138.00;0.63;0.00;43344.00;0.10;14.00;38.00;1.00;13575.00;0.58;9.00;6.00
43138.00;0.65;0.00;43344.00;0.10;15.00;39.00;1.00;13575.00;0.58;43140.00;6.00
43138.00;0.63;0.00;43344.00;0.10;14.00;38.00;1.00;13575.00;0.58;9.00;6.00
43139.00;1.00;0.09;43161.00;0.07;7.00;37.00;1.00;11749.00;0.55;9.00;6.00
43351.00;0.64;0.37;43282.00;0.26;5.00;62.00;1.00;3.00;43344.00;43168.00;5.00
12.00;0.38;0.56;43102.00;0.09;6.00;24.00;1.00;41699.00;0.71;43353.00;6.00
43288.00;0.58;0.10;43313.00;0.10;28.00;109.00;1.00;43315.00;0.49;43321.00;6.00
15.00;0.21;0.44;43133.00;0.08;10.00;24.00;1.00;43284.00;0.84;43140.00;7.00
15.00;0.21;0.44;43133.00;0.08;10.00;24.00;1.00;43284.00;0.84;43140.00;7.00
43166.00;0.66;0.00;2.00;0.08;6.00;23.00;1.00;22341.00;0.96;43352.00;6.00
43107.00;0.68;0.07;43344.00;0.08;16.00;51.00;1.00;13940.00;0.52;43229.00;5.00
43139.00;0.60;0.17;43161.00;0.07;11.00;73.00;1.00;43134.00;0.45;43168.00;5.00
43288.00;0.53;0.06;43282.00;0.07;9.00;39.00;1.00;12844.00;0.48;43321.00;6.00
43166.00;0.66;0.00;2.00;0.08;6.00;23.00;1.00;22341.00;0.96;43352.00;6.00
43322.00;0.32;0.44;43252.00;0.06;16.00;37.00;1.00;44621.00;0.78;10.00;6.00
43107.00;0.60;0.00;43313.00;0.07;16.00;34.00;1.00;17227.00;0.70;43352.00;6.00
43111.00;0.35;0.48;43103.00;0.09;5.00;21.00;1.00;42795.00;0.53;43230.00;5.00
43288.00;0.78;0.42;43344.00;0.09;8.00;86.00;1.00;44986.00;0.59;43229.00;5.00
43107.00;0.60;0.00;43313.00;0.07;16.00;34.00;1.00;17227.00;0.70;43352.00;6.00
8.00;0.57;0.23;43134.00;0.07;17.00;119.00;1.00;46082.00;0.57;43168.00;5.00
43199.00;0.34;0.37;43133.00;0.08;5.00;13.00;1.00;44621.00;0.62;43140.00;5.00
43257.00;0.70;0.00;43102.00;0.08;12.00;56.00;1.00;17958.00;0.67;43140.00;5.00
43288.00;0.41;0.76;43313.00;0.61;8.00;45.00;1.00;43254.00;46023.00;43199.00;5.00
10.00;0.31;0.47;43253.00;0.09;14.00;33.00;1.00;13210.00;0.80;43230.00;7.00
43350.00;0.33;0.23;43282.00;0.08;18.00;45.00;1.00;47178.00;0.65;43168.00;5.00
7.00;0.98;0.04;2.00;0.09;12.00;67.00;1.00;12844.00;0.60;43199.00;4.00
8.00;0.52;0.03;43282.00;0.07;10.00;35.00;1.00;12479.00;0.57;10.00;5.00
43350.00;0.37;0.23;43313.00;0.08;23.00;49.00;1.00;46813.00;0.67;43168.00;5.00
43232.00;0.56;0.49;43192.00;0.06;5.00;27.00;1.00;43315.00;0.87;43353.00;5.00
43323.00;0.26;0.52;43313.00;0.07;6.00;10.00;1.00;43134.00;0.72;43141.00;7.00
43108.00;0.87;0.00;43162.00;0.10;26.00;61.00;1.00;43254.00;0.72;43321.00;4.00
